[25-Aug-2022 12:29:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_imagick.dll' (tried: C:/Users/afpa/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-7.4.1+18/bin/win64/ext\php_imagick.dll (Le module spécifié est introuvable.), C:/Users/afpa/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-7.4.1+18/bin/win64/ext\php_php_imagick.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Aug-2022 08:17:52 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:17:53 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:18:04 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:18:04 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:18:09 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:18:11 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:18:12 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:18:16 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:18:17 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:18:24 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:19:46 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:19:46 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:19:52 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:19:55 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:19:55 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:19:57 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:19:57 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:20:02 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:20:02 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:20:05 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:20:05 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:20:07 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:20:07 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:20:20 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:24:39 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:25:45 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:25:50 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:25:50 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:26:08 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:26:08 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 08:26:11 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:05:48 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:05:54 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:06:00 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:06:00 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:06:03 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:08:15 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:08:15 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:09:10 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:09:10 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:09:13 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:09:13 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:10:33 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:10:33 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:13:08 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:13:08 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:13:47 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:13:47 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:13:48 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:14:49 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:16:38 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:17:39 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:17:48 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:17:48 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:18:00 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 09:18:01 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 9
[29-Aug-2022 10:58:08 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\archive.php on line 112
[29-Aug-2022 10:58:11 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\archive.php on line 112
[29-Aug-2022 11:25:36 UTC] PHP Parse error:  syntax error, unexpected end of file, expecting ')' in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 65
[29-Aug-2022 11:26:42 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 66
[29-Aug-2022 11:26:43 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 66
[29-Aug-2022 11:36:55 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 70
[29-Aug-2022 11:37:01 UTC] PHP Warning:  Use of undefined constant … - assumed '…' (this will throw an Error in a future version of PHP) in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 72
[29-Aug-2022 11:37:01 UTC] PHP Stack trace:
[29-Aug-2022 11:37:01 UTC] PHP   1. {main}() C:\Users\afpa\Local Sites\trident\app\public\index.php:0
[29-Aug-2022 11:37:01 UTC] PHP   2. require() C:\Users\afpa\Local Sites\trident\app\public\index.php:17
[29-Aug-2022 11:37:01 UTC] PHP   3. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-blog-header.php:13
[29-Aug-2022 11:37:01 UTC] PHP   4. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-load.php:50
[29-Aug-2022 11:37:01 UTC] PHP   5. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-config.php:91
[29-Aug-2022 11:37:01 UTC] PHP   6. do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-settings.php:598
[29-Aug-2022 11:37:01 UTC] PHP   7. WP_Hook->do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\plugin.php:476
[29-Aug-2022 11:37:01 UTC] PHP   8. WP_Hook->apply_filters() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:331
[29-Aug-2022 11:37:01 UTC] PHP   9. capitaine_register_post_types() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:307
[29-Aug-2022 11:37:01 UTC] PHP Warning:  Use of undefined constant … - assumed '…' (this will throw an Error in a future version of PHP) in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 73
[29-Aug-2022 11:37:01 UTC] PHP Stack trace:
[29-Aug-2022 11:37:01 UTC] PHP   1. {main}() C:\Users\afpa\Local Sites\trident\app\public\index.php:0
[29-Aug-2022 11:37:01 UTC] PHP   2. require() C:\Users\afpa\Local Sites\trident\app\public\index.php:17
[29-Aug-2022 11:37:01 UTC] PHP   3. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-blog-header.php:13
[29-Aug-2022 11:37:01 UTC] PHP   4. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-load.php:50
[29-Aug-2022 11:37:01 UTC] PHP   5. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-config.php:91
[29-Aug-2022 11:37:01 UTC] PHP   6. do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-settings.php:598
[29-Aug-2022 11:37:01 UTC] PHP   7. WP_Hook->do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\plugin.php:476
[29-Aug-2022 11:37:01 UTC] PHP   8. WP_Hook->apply_filters() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:331
[29-Aug-2022 11:37:01 UTC] PHP   9. capitaine_register_post_types() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:307
[29-Aug-2022 11:37:02 UTC] PHP Warning:  Use of undefined constant … - assumed '…' (this will throw an Error in a future version of PHP) in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 72
[29-Aug-2022 11:37:02 UTC] PHP Stack trace:
[29-Aug-2022 11:37:02 UTC] PHP   1. {main}() C:\Users\afpa\Local Sites\trident\app\public\wp-cron.php:0
[29-Aug-2022 11:37:02 UTC] PHP   2. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-cron.php:44
[29-Aug-2022 11:37:02 UTC] PHP   3. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-load.php:50
[29-Aug-2022 11:37:02 UTC] PHP   4. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-config.php:91
[29-Aug-2022 11:37:02 UTC] PHP   5. do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-settings.php:598
[29-Aug-2022 11:37:02 UTC] PHP   6. WP_Hook->do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\plugin.php:476
[29-Aug-2022 11:37:02 UTC] PHP   7. WP_Hook->apply_filters() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:331
[29-Aug-2022 11:37:02 UTC] PHP   8. capitaine_register_post_types() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:307
[29-Aug-2022 11:37:02 UTC] PHP Warning:  Use of undefined constant … - assumed '…' (this will throw an Error in a future version of PHP) in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 73
[29-Aug-2022 11:37:02 UTC] PHP Stack trace:
[29-Aug-2022 11:37:02 UTC] PHP   1. {main}() C:\Users\afpa\Local Sites\trident\app\public\wp-cron.php:0
[29-Aug-2022 11:37:02 UTC] PHP   2. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-cron.php:44
[29-Aug-2022 11:37:02 UTC] PHP   3. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-load.php:50
[29-Aug-2022 11:37:02 UTC] PHP   4. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-config.php:91
[29-Aug-2022 11:37:02 UTC] PHP   5. do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-settings.php:598
[29-Aug-2022 11:37:02 UTC] PHP   6. WP_Hook->do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\plugin.php:476
[29-Aug-2022 11:37:02 UTC] PHP   7. WP_Hook->apply_filters() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:331
[29-Aug-2022 11:37:02 UTC] PHP   8. capitaine_register_post_types() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:307
[29-Aug-2022 11:37:03 UTC] PHP Warning:  Use of undefined constant … - assumed '…' (this will throw an Error in a future version of PHP) in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 72
[29-Aug-2022 11:37:03 UTC] PHP Stack trace:
[29-Aug-2022 11:37:03 UTC] PHP   1. {main}() C:\Users\afpa\Local Sites\trident\app\public\index.php:0
[29-Aug-2022 11:37:03 UTC] PHP   2. require() C:\Users\afpa\Local Sites\trident\app\public\index.php:17
[29-Aug-2022 11:37:03 UTC] PHP   3. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-blog-header.php:13
[29-Aug-2022 11:37:03 UTC] PHP   4. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-load.php:50
[29-Aug-2022 11:37:03 UTC] PHP   5. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-config.php:91
[29-Aug-2022 11:37:03 UTC] PHP   6. do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-settings.php:598
[29-Aug-2022 11:37:03 UTC] PHP   7. WP_Hook->do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\plugin.php:476
[29-Aug-2022 11:37:03 UTC] PHP   8. WP_Hook->apply_filters() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:331
[29-Aug-2022 11:37:03 UTC] PHP   9. capitaine_register_post_types() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:307
[29-Aug-2022 11:37:03 UTC] PHP Warning:  Use of undefined constant … - assumed '…' (this will throw an Error in a future version of PHP) in C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php on line 73
[29-Aug-2022 11:37:03 UTC] PHP Stack trace:
[29-Aug-2022 11:37:03 UTC] PHP   1. {main}() C:\Users\afpa\Local Sites\trident\app\public\index.php:0
[29-Aug-2022 11:37:03 UTC] PHP   2. require() C:\Users\afpa\Local Sites\trident\app\public\index.php:17
[29-Aug-2022 11:37:03 UTC] PHP   3. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-blog-header.php:13
[29-Aug-2022 11:37:03 UTC] PHP   4. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-load.php:50
[29-Aug-2022 11:37:03 UTC] PHP   5. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-config.php:91
[29-Aug-2022 11:37:03 UTC] PHP   6. do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-settings.php:598
[29-Aug-2022 11:37:03 UTC] PHP   7. WP_Hook->do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\plugin.php:476
[29-Aug-2022 11:37:03 UTC] PHP   8. WP_Hook->apply_filters() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:331
[29-Aug-2022 11:37:03 UTC] PHP   9. capitaine_register_post_types() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:307
[29-Aug-2022 11:37:03 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php:73) in C:\Users\afpa\Local Sites\trident\app\public\wp-includes\pluggable.php on line 1421
[29-Aug-2022 11:37:03 UTC] PHP Stack trace:
[29-Aug-2022 11:37:03 UTC] PHP   1. {main}() C:\Users\afpa\Local Sites\trident\app\public\index.php:0
[29-Aug-2022 11:37:03 UTC] PHP   2. require() C:\Users\afpa\Local Sites\trident\app\public\index.php:17
[29-Aug-2022 11:37:03 UTC] PHP   3. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-blog-header.php:19
[29-Aug-2022 11:37:03 UTC] PHP   4. do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\template-loader.php:45
[29-Aug-2022 11:37:03 UTC] PHP   5. WP_Hook->do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\plugin.php:476
[29-Aug-2022 11:37:03 UTC] PHP   6. WP_Hook->apply_filters() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:331
[29-Aug-2022 11:37:03 UTC] PHP   7. do_favicon() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:307
[29-Aug-2022 11:37:03 UTC] PHP   8. wp_redirect() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\functions.php:1733
[29-Aug-2022 11:37:03 UTC] PHP   9. header() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\pluggable.php:1421
[29-Aug-2022 11:37:03 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\Users\afpa\Local Sites\trident\app\public\wp-content\themes\Anthony_D\functions.php:73) in C:\Users\afpa\Local Sites\trident\app\public\wp-includes\pluggable.php on line 1424
[29-Aug-2022 11:37:03 UTC] PHP Stack trace:
[29-Aug-2022 11:37:03 UTC] PHP   1. {main}() C:\Users\afpa\Local Sites\trident\app\public\index.php:0
[29-Aug-2022 11:37:03 UTC] PHP   2. require() C:\Users\afpa\Local Sites\trident\app\public\index.php:17
[29-Aug-2022 11:37:03 UTC] PHP   3. require_once() C:\Users\afpa\Local Sites\trident\app\public\wp-blog-header.php:19
[29-Aug-2022 11:37:03 UTC] PHP   4. do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\template-loader.php:45
[29-Aug-2022 11:37:03 UTC] PHP   5. WP_Hook->do_action() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\plugin.php:476
[29-Aug-2022 11:37:03 UTC] PHP   6. WP_Hook->apply_filters() C:\Users\afpa\Local Sites\trident\app\public\wp-includes\class-wp-hook.php:331
